humanGene	mouseGene
PRPF40B	Prpf40b
ECT2	Ect2
PITX1	Pitx1
FGD2	Fgd2
FAM50A	Fam50a
CNIH3	Cnih3
TUBA8	Tuba8
IGF1	Igf1
NAT8 /// NAT8B	Nat8
ZMYND19	Zmynd19
TPH1	Tph1
CA5A	Car5a
FGR	Fgr
COMP	Comp
IL23A	Il23a
IL12B	Il12b
C3orf62 /// MIR4271	1700102P08Rik
C3orf62 /// MIR4271 /// USP4	1700102P08Rik
C3orf62	1700102P08Rik
IL1R2	Il1r2
NHLH1	Nhlh1
OLR1	Olr1
SLCO6A1	Slco6b1
RELA	Rela
TFEC	Tfec
FLT3	Flt3
IRX4	Irx4
DAZ1 /// DAZ2 /// DAZ3 /// DAZ4	Dazl
TRA2B	Tra2b
ATP6V1C1	Atp6v1c1
FAHD1	Fahd1
KPNA1	Kpna1
ARG1	Arg1
STK39	Stk39
ECHDC1	Echdc1
RABGGTB /// SNORD45A /// SNORD45B /// SNORD45C	Rabggtb
RABGGTB	Rabggtb
CD47	Cd47
ELF5	Elf5
TMEM9	Tmem9
MDM4	Mdm4
CYP4F12	Cyp4f14
LIPC	Lipc
CCL3 /// CCL3L1 /// CCL3L3 /// LOC101060267	Ccl3
BIRC6	Birc6
ZNF467	Zfp467
ZFX	Zfx
ZFX /// ZFY	Zfx
FANK1	Fank1
MAPK1	Mapk1
ISG20	Isg20
SLC28A3	Slc28a3
ABCD4	Abcd4
LGALS1	Lgals1
ZNF292	Zfp292
HOXB13	Hoxb13
FIG4	Fig4
DLG4	Dlg4
CYP2C9	Cyp2c55
CBX4	Cbx4
RP2	Rp2h
SPAG1	Spag1
CD93	Cd93
GSDMC	Gsdmc
UNC5C	Unc5c
GREB1	Greb1
CTSG	Ctsg
GGH	Ggh
EDA	Eda
MS4A6A	Ms4a6d
KCNJ10	Kcnj10
HOXA2	Hoxa2
ZBP1	Zbp1
CLEC10A	Clec10a
TNNT1	Tnnt1
TNF	Tnf
MIA	Mia
CCR1	Ccr1
COL7A1	Col7a1
PLA2G12B	Pla2g12b
TRPV6	Trpv6
BMPR2	Bmpr2
KCNN1	Kcnn1
BBOX1	Bbox1
KRT80	Krt80
PTTG1	Pttg1
ANKRD2	Ankrd2
UGT2B15	Ugt2b5
PRSS21	Prss21
C6orf118	1700010I14Rik
HSPA1L	Hspa1l
ADAM20	Adam25
MESP2	Mesp2
TRIM11	Trim11
WAS	Was
TECTA	Tecta
GHRH	Ghrh
C5orf34	4833420G17Rik
EFNB2	Efnb2
PURB	Purb
C6orf58	2310057J18Rik /// 2310065H11Rik
CSTF2	Cstf2
MBP	Mbp
IER3	Ier3
MYO1C	Myo1c
ZFR	Zfr
NKAIN1	Nkain1
DDX5 /// MIR3064 /// MIR5047	Ddx5
DDX5	Ddx5
TLE3	Tle3
SLC25A36	Slc25a36
CHIC2	Chic2
YAE1D1	Yae1d1
OGN	Ogn
SRR	Srr
NUPR1	Nupr1
SGCB	Sgcb
PRTN3	Prtn3
FTCD	Ftcd
IL17RC	Il17rc
SPOCK1	Spock1
DPEP1	Dpep1
NGF	Ngf
LATS2	Lats2
ELAC2	Elac2
PROK2	Prok2
TP53RK	2810408M09Rik /// Trp53rk
TP53RK	Trp53rk
UPF1	Upf1
CEP41	Cep41
MACROD1	Macrod1
GPC6	Gpc6
CHMP1B	2610002M06Rik /// Chmp1b
CAMP	Camp
LTC4S	Ltc4s
COLEC12	Colec12
ST8SIA1	St8sia1
CD4	Cd4
SCGB3A1	Scgb3a1
PROM1	Prom1
ANKS3	Anks3
TAF1A	Taf1a
COL5A3	Col5a3
CYP3A5	Cyp3a41a /// Cyp3a41b
CA5B	Car5b
AKAP12	Akap12
WNT6	Wnt6
NXPH3	Nxph3
CD7	Cd7
IL3RA	Il3ra
ATP8B3	Atp8b3
CD274	Cd274
POU2F1	Pou2f1
SEMA3E	Sema3e
GABRB1	Gabrb1
GP9	Gp9
KLK8	Klk8
LOC101060233 /// OPN1LW /// OPN1MW /// OPN1MW2	Opn1mw
EDAR	Edar
SLC26A4	Slc26a4
ADAM18	Adam18
CXCL6	Cxcl5
TEX11	Tex11
AHCYL2	Ahcyl2
RTN4R	Rtn4r
ACTB	Actb
CSN3	Csn3
EIF1AX /// LOC101060318	Eif1ax
LDHA	Ldha
TPM2	Tpm2
PDE6B	Pde6b
SUPT16H	Supt16
C20orf27	1700037H04Rik
CARM1	Carm1
HLA-DMB	H2-DMb2
ARHGAP23	Arhgap23
ASGR2	Asgr2
ABCD2	Abcd2
TRDMT1	Trdmt1
SLC22A9	Slc22a27
NFX1	Nfx1
MYO5A	Myo5a
DGKG	Dgkg
PITPNM2	Pitpnm2
ABCB1 /// ABCB4	Abcb1a
ABCB1	Abcb1a
RWDD2B	Rwdd2b
GABPB1	Gabpb1
GABBR1 /// UBD	Ubd
NKAP	Nkap
CUL2	Cul2
SIK1	Sik1
PADI3	Padi3
CD22	Cd22
APLF	Aplf
AGAP2	Agap2
RPL27A /// SNORA3	Rpl27a
RPL27A	Rpl27a
CCDC12	Ccdc12
ARHGAP9	Arhgap9
COA3	Coa3
METTL17	Mettl17
ANKZF1	Ankzf1
SEC63	Sec63
PKHD1	Pkhd1
IDH1	Idh1
EIF3E	Eif3e
KSR1	Ksr1
KIF17	Kif17
ACPP	Acpp
ARAP3	Arap3
MARK1	Mark1
PLEC	Plec
PLK4	Plk4
PRPF19	Prpf19
KRT72	Krt72
TLR7	Tlr7
SLC4A8	Slc4a8
TNPO1	Tnpo1
ATXN2	Atxn2
ANKHD1 /// ANKHD1-EIF4EBP3	Ankhd1
ANKHD1 /// ANKHD1-EIF4EBP3 /// EIF4EBP3	Ankhd1
CSF1R	Csf1r
ZBTB16	Zbtb16
TRIM25	Trim25
TET1	Tet1
ZC3H7A	Zc3h7a
HPGD	Hpgd
FCRLA	Fcrla
MPHOSPH9	Mphosph9
NUS1 /// NUS1P3	Nus1
NUS1	Nus1
RNF20	Rnf20
TMED7 /// TMED7-TICAM2	Tmed7
USP7	Usp7
RABIF	Rabif
LRIG1	Lrig1
ABCB7	Abcb7
PDRG1	Pdrg1
CSNK2A2	Csnk2a2
SRXN1	Srxn1
TMEM38B	Tmem38b
TNPO3	Tnpo3
LMAN1	Lman1
ZFAND3	Zfand3
DEPTOR	Deptor
SEH1L	Seh1l
KIAA2022	C77370
SLC35A5	Slc35a5
OXSM	Oxsm
SCP2	Scp2
NFATC3	Nfatc3
ESRP2	Esrp2
ARHGEF25	Arhgef25
CREB3	Creb3
GBA2	Gba2
LOC100996620 /// ZNF644	Zfp644
MAP3K7	Map3k7
COMMD5	Commd5
RAB3IL1	Rab3il1
ANAPC16	Anapc16
IGBP1	Igbp1
NSUN5	Nsun5
WWC1	Wwc1
XBP1	Xbp1
LSS	Lss
TSPAN8	Tspan8
SUZ12	Suz12
SUZ12 /// SUZ12P1	Suz12
ETF1	Etf1
AAK1	Aak1
MCM3	Mcm3
SLU7	Slu7
CHEK1	Chek1
PPP2R2D	Ppp2r2d
ATP5A1	Atp5a1
ATP6V1E1	Atp6v1e1
CBX7	Cbx7
FAM73B	Fam73b
THOC1	Thoc1
OSBPL9	Osbpl9
MAF1	Maf1
PSMB1	Psmb1
SLC35C2	Slc35c2
JMJD6	Jmjd6
MTFR1L	Mtfr1l
TKTL1	Tktl1
CD160 /// LOC101060629	Cd160
C19orf53	D8Ertd738e
FGF4	Fgf4
FZD3	Fzd3
NFKBIA	Nfkbia
MORC3	Morc3
HNRNPDL	Hnrpdl
SIAH1	Siah1a
ZNF334	Zfp334
COPRS	Coprs
EXOSC8	Exosc8
GOLPH3	Golph3
TCTA	Tcta
RTCB	D10Wsu52e
PTTG1IP	Pttg1ip
SLC19A1	Slc19a1
MEPCE	Mepce
PA2G4	Pa2g4
TIAM2	Tiam2
LOC100505519 /// TIAM2	Tiam2
SLC6A6	Slc6a6
SPSB1	Spsb1
ABCF1	Abcf1
MYO1E	Myo1e
DNAJC17	Dnajc17
DNTT	Dntt
TAX1BP1	Tax1bp1
IGLL5	Igll1
IGLL1	Igll1
LOR	Lor
JUP /// KRT17	Krt17
TBC1D14	LOC100862594 /// Tbc1d14
GADD45B	Gadd45b
SLC8A1	Slc8a1
HOXA4	Hoxa4
BPHL	Bphl
SMARCD1	Smarcd1
GLB1L	Glb1l
TUBG2	Tubg2
PRPH	Prph
PKP2	Pkp2
PHF7	Phf7
PSEN1	Psen1
PRSS58	Prss58
COL9A3	Col9a3
GPANK1	Gpank1
CLCN5	Clcn5
PITPNB	Pitpnb
CRAMP1L	Cramp1l
TIMMDC1	Timmdc1
CLEC4E	Clec4e
TXNDC8	Txndc8
SLC12A8	Slc12a8
DMC1	Dmc1
ADAMTSL5	Adamtsl5
GBX2	Gbx2
ALOX15	Alox15
DPY30 /// MEMO1	Memo1
CSPP1	Cspp1
TMCO5A	Tmco5
CLDN14	Cldn14
ASB12 /// MTMR8	Asb12
ASB12	Asb12
BPIFA1	Bpifa1
LHX5	Lhx5
PTGFR	Ptgfr
TNFRSF4	Tnfrsf4
PRSS22	Prss22
LTA	Lta
CNNM1	Cnnm1
GRK4	Grk4
NINJ2	Ninj2
KRTAP13-1	Krtap13
DKK1	Dkk1
SLC11A1	Slc11a1
BIK	Bik
GPR87	Gpr87
HNRNPA2B1	Hnrnpa2b1 /// LOC100045191
SPESP1	Spesp1
DENR	Denr
CSN2	Csn2
SNTB2	Sntb2
FOXJ2	Foxj2
KIF3A	Kif3a
H3F3A /// H3F3B /// MIR4738	Gm10257 /// Gm12657 /// Gm6749 /// H3f3a /// H3f3b /// H3f3c /// LOC101056659
H3F3A /// H3F3AP4 /// H3F3B	Gm10257 /// Gm12657 /// Gm6749 /// H3f3a /// H3f3b /// H3f3c /// LOC101056659
H3F3A	Gm10257 /// Gm12657 /// Gm6749 /// H3f3a /// H3f3b /// H3f3c /// LOC101056659
ST8SIA2	St8sia2
SFTPD	Sftpd
CCL13	Ccl2
RPL31	LOC638399 /// Rpl31 /// Rpl31-ps12
RPL31 /// TBC1D8	LOC638399 /// Rpl31 /// Rpl31-ps12
APOBR	Apobr
COL4A3BP	Col4a3bp
GNA14	Gna14
MPV17	Mpv17
PRSS12	Prss12
PAX3	Pax3
ZNF354A	Zfp354a
PARD3	Pard3
UBL4B	Ubl4b
NOS2	Nos2
KIF9	Kif9
SPEN	Spen
RGS18	Rgs18
GFI1B	Gfi1b
RAMP3	Ramp3
ATP2B2	Atp2b2
CD86	Cd86
LTB4R	Ltb4r1
ABCC9	Abcc9
KRT35	Krt35
NR5A2	Nr5a2
TNFSF10	Tnfsf10
SLC7A11	Slc7a11
HOXA11	Hoxa11
SEMA3A	Sema3a
SYT2	Syt2
OTOF	Otof
HAO1	Hao1
PRDM1	Prdm1
MYO7B	Myo7b
DHX32	Dhx32
AGER	Ager
PCDHB3	Pcdhb3
CCDC159	Ccdc159
RPTN	Rptn
TAS1R1	Tas1r1
TAF7L	Taf7l
CLDN16	Cldn16
IDO1	Ido1
PPY	Ppy
CENPC1	Cenpc1
CACNA1S	Cacna1s
PCDHB11	Pcdhb19
SLC22A3	Slc22a3
SLC16A8	Slc16a8
ODF3	Odf3
SULT1E1	Sult1e1
HEATR5B	Heatr5b
MMP10	Mmp10
ASIC5	Asic5
CRYGS	Crygs
RAI1	Rai1
GCM2	Gcm2
DVL3	Dvl3
RIPPLY3	Ripply3
LOC101060567 /// PEX11B	Pex11b
MST1R	Mst1r
IL1RAPL2	Il1rapl2
CLNK	Clnk
LILRA6 /// LILRB3	Gm10693 /// Gm14548 /// Lilra6 /// Lilrb3 /// Pira1 /// Pira11 /// Pira2 /// Pira4 /// Pira6 /// Pira7
PSORS1C2	Psors1c2
ASB17	Asb17
HCRT	Hcrt
LUZP6 /// MTPN	Mtpn
MTPN	Mtpn
NAP1L1	Nap1l1
CNNM3	Cnnm3
SEBOX /// VTN	Vtn
NOL7	Nol7
MRPS14	Mrps14
KLK3	Klk1b16
EIF2S1	Eif2s1
PCYT2	Pcyt2
UBC	Ubc
VPS26A	Vps26a
F12	F12
CEBPZ	Cebpz
DAB2	Dab2
GCH1	Gch1
DNAJC1	Dnajc1
SAT1	Sat1
SAT1 /// ZSWIM8	Sat1
SLC6A14	Slc6a14
STXBP1	Stxbp1
SREK1IP1	Srek1ip1
SEMA3F	Sema3f
SRFBP1	Srfbp1
PRPH2	Prph2
DKK2	Dkk2
EFCAB2	Efcab2
TMEM47	Tmem47
PGLYRP2	Pglyrp2
ASIP	a
CHMP4C	Chmp4c
IGSF9	Igsf9
ERAL1	Eral1
PAPLN	Papln
MASP2	Masp2
OTC	Otc
DCBLD2	Dcbld2
GPATCH2	Gpatch2
DPF1	Dpf1
MAGI2	Magi2
GUCY1A3	Gucy1a3
NUB1	Nub1
CRYBB2 /// CRYBB2P1	Crybb2
CRYBB2	Crybb2
KCTD4	Kctd4
GPRC5D	Gprc5d
CHRDL2	Chrdl2
RIT1	Rit1
DNAJC28	Dnajc28
GCSAM	Gcsam
CHN1	Chn1
TH	Th
GALC	Galc
KNOP1	Knop1
GBP2	Gbp2b
MURC	Murc
SERPINA1	Serpina1a /// Serpina1d
RAC3	Rac3
ALX3	Alx3
OXT	Oxt
EPHA5	Epha5
SELP	Selp
SHOX2	Shox2
CHRNE	Chrne
TRPC7	Trpc7
SLURP1	Slurp1
GRIA3	Gria3
INSRR	Insrr
HOXA1	Hoxa1
PRKD3	Prkd3
CHAD	Chad
MS4A3	Ms4a3
HOXD1	Hoxd1
C5orf48	1700065I17Rik
MT3	Mt3
LPAR2	Lpar2
AICDA	Aicda
OPTC	Optc
CFTR	Cftr
GPR143	Gpr143
CD209	Cd209e
RORA	Rora
TSGA13	Tsga13
EPPIN /// EPPIN-WFDC6	Eppin
HAS3	Has3
CIRH1A /// HAS3	Has3
HAS1	Has1
GPR84	Gpr84
ANP32E	Anp32e
TEAD3	Tead3
BARD1	Bard1
DLX4	Dlx4
CACNG2	Cacng2
CABP2	Cabp2
KRTAP4-9	Gm11554 /// Gm11569 /// Krtap4-13
TPO	Tpo
GCM1	Gcm1
ESX1	Esx1
HESX1	Hesx1
NPFF	Npff
RBM18	Rbm18
MARCH7	March7
PRKACB	Prkacb
PTP4A2	Ptp4a2
DYNLT3	Dynlt3
ASH2L	Ash2l
CPEB4	Cpeb4
AES	Aes
RNF13	Rnf13
APP	App
HSPA8 /// SNORD14C /// SNORD14D	Hspa8
VAMP8	Vamp8
GTF3C6	Gtf3c6
PURA	Pura
DNAJA3	Dnaja3
KIAA1467	8430419L09Rik
BLCAP	Blcap
BSCL2 /// HNRNPUL2-BSCL2	Bscl2
SMAD2	Smad2
TCIRG1	Tcirg1
DUSP12	Dusp12
PRPS2	Prps2
JMY	Jmy
SQRDL	Sqrdl
ROMO1	Romo1
LFNG	Lfng
SEC61A2	Sec61a2
PCGF2	Pcgf2
KRT8	Krt8
ZFHX3	Zfhx3
ATE1	Ate1
TGFB1	Tgfb1
GBE1	Gbe1
PNPLA3	Pnpla3
ABCG8	Abcg8
UCP3	Ucp3
SLAMF6	Slamf6
LRRC6	Lrrc6
GID4	Gid4
PROCR	Procr
ITGB3BP	Itgb3bp
DOC2B	Doc2b
YIPF2	Yipf2
ARNT2	Arnt2
KCNE1	Kcne1
ACOX2	Acox2
PLA2G2E	Pla2g2e
ZNF3	Zfp113
IL17RB	Il17rb
AIG1	Aig1
CHRNB1	Chrnb1
BNIPL	Bnipl
ACOX3	Acox3
GRAP2	Grap2
CRYBA4	Cryba4
C21orf62	4932438H23Rik
SGCE	Sgce
FGF10	Fgf10
IL2RA	Il2ra
MYOM1	Myom1
DACH1	Dach1
SEMA3C	Sema3c
SLC15A3	Slc15a3
GPX5	Gpx5
CLEC7A	Clec7a
KLK3	Klk1b1
C2orf74 /// KIAA1841	1700093K21Rik
CSF2RA	Csf2ra
FOXB1	Foxb1
SRCIN1	Srcin1
TRAIP	Traip
DAO	Dao
REL	Rel
PEX2	Pex2
HPN	Hpn
MDFI	Mdfi
PPARG	Pparg
CD247	Cd247
TENM2	Tenm2
TEX15	Tex15
NPTX2	Nptx2
ELOVL3	Elovl3
TMLHE	Tmlhe
KRT32	Krt32
TCP11	Tcp11
CSRP2	Csrp2
RWDD3	Rwdd3
CAB39L	Cab39l
PPP1R3F	Ppp1r3f
GABRR2	Gabrr2
SIM1	Sim1
PMFBP1	Pmfbp1
MZF1	Mzf1
CNTN3	Cntn3
IL25	Il25
ADAM7	Adam7
PPP3CC	Ppp3cc
CHRNB2	Chrnb2
CCNDBP1	Ccndbp1
ADAT1	Adat1
POU6F1	Pou6f1
DTX3	Dtx3
TLL1	Tll1
TTF1	Ttf1
PARK2	Park2
FUT7	Fut7
MYF5	Myf5
NDRG1	Ndrg1
CHRND	Chrnd
YBX2	Ybx2
KLK4	Klk4
SCRG1	Scrg1
FOXP3	Foxp3
SOCS7	Socs7
DHX58	Dhx58
KLK3	Klk1b24
TSC22D3	Tsc22d3
MGARP	Mgarp
HDHD1	Hdhd1a
AUH	Auh
FHL3	Fhl3
ASCL3	Ascl3
TNFRSF17	Tnfrsf17
TPD52L3	Trpd52l3
SCN11A	Scn11a
GAB2	Gab2
KLRG1	Klrg1
FGF9	Fgf9
AHRR	Ahrr
PCDHA1 /// PCDHA10 /// PCDHA11 /// PCDHA12 /// PCDHA13 /// PCDHA2 /// PCDHA3 /// PCDHA4 /// PCDHA5 /// PCDHA6 /// PCDHA7 /// PCDHA8 /// PCDHA9 /// PCDHAC1 /// PCDHAC2	Pcdha1 /// Pcdha10 /// Pcdha11 /// Pcdha12 /// Pcdha2 /// Pcdha3 /// Pcdha4 /// Pcdha5 /// Pcdha6 /// Pcdha7 /// Pcdha8 /// Pcdha9 /// Pcdhac1 /// Pcdhac2
PCDHA2	Pcdha1 /// Pcdha10 /// Pcdha11 /// Pcdha12 /// Pcdha2 /// Pcdha3 /// Pcdha4 /// Pcdha5 /// Pcdha6 /// Pcdha7 /// Pcdha8 /// Pcdha9 /// Pcdhac1 /// Pcdhac2
PCDHAC2	Pcdha1 /// Pcdha10 /// Pcdha11 /// Pcdha12 /// Pcdha2 /// Pcdha3 /// Pcdha4 /// Pcdha5 /// Pcdha6 /// Pcdha7 /// Pcdha8 /// Pcdha9 /// Pcdhac1 /// Pcdhac2
PCDHAC1	Pcdha1 /// Pcdha10 /// Pcdha11 /// Pcdha12 /// Pcdha2 /// Pcdha3 /// Pcdha4 /// Pcdha5 /// Pcdha6 /// Pcdha7 /// Pcdha8 /// Pcdha9 /// Pcdhac1 /// Pcdhac2
PCDHA5	Pcdha1 /// Pcdha10 /// Pcdha11 /// Pcdha12 /// Pcdha2 /// Pcdha3 /// Pcdha4 /// Pcdha5 /// Pcdha6 /// Pcdha7 /// Pcdha8 /// Pcdha9 /// Pcdhac1 /// Pcdhac2
PCDHA6	Pcdha1 /// Pcdha10 /// Pcdha11 /// Pcdha12 /// Pcdha2 /// Pcdha3 /// Pcdha4 /// Pcdha5 /// Pcdha6 /// Pcdha7 /// Pcdha8 /// Pcdha9 /// Pcdhac1 /// Pcdhac2
PCDHA9	Pcdha1 /// Pcdha10 /// Pcdha11 /// Pcdha12 /// Pcdha2 /// Pcdha3 /// Pcdha4 /// Pcdha5 /// Pcdha6 /// Pcdha7 /// Pcdha8 /// Pcdha9 /// Pcdhac1 /// Pcdhac2
PCDHA3	Pcdha1 /// Pcdha10 /// Pcdha11 /// Pcdha12 /// Pcdha2 /// Pcdha3 /// Pcdha4 /// Pcdha5 /// Pcdha6 /// Pcdha7 /// Pcdha8 /// Pcdha9 /// Pcdhac1 /// Pcdhac2
NTSR1	Ntsr1
KCNQ2	Kcnq2
NPAS1	Npas1
IL13	Il13
CLEC4D	Clec4d
MYL10	Myl10
FGF16	Fgf16
DLK2	Dlk2
NCOA4	Ncoa4
CHP1	Chp1 /// Gm20056
CTNNB1	Ctnnb1
HDAC7	Hdac7
GDI2	Gdi2
YWHAG	Ywhag
SLA	Sla
MYL12A	Myl12a
MYL12A /// MYL12B	Myl12a
SGPP1	Sgpp1
SEMA4D	Sema4d
LETM1	Letm1
CCNG1	Ccng1
YWHAQ	Ywhaq
QSOX1	Qsox1
FLJ23867 /// QSOX1	Qsox1
VAMP2	Vamp2
SLC25A30	Slc25a30
NTRK2	Ntrk2
PLEKHA3	Plekha3
PTPRF	Ptprf
UBQLN2	Ubqln2
MRPS2	Mrps2
FGFR2	Fgfr2
SUFU	Sufu
CRNKL1	Crnkl1
PARD6G	Pard6g
B3GNT2	B3gnt2 /// Commd1
COMMD1	B3gnt2 /// Commd1
SDC3	Sdc3
ELN	Eln
LANCL2	Lancl2
PKIA	Pkia
ITGA9	Itga9
DCTN4	Dctn4
ZBTB14	Zbtb14
TMED2	Gm21540 /// Tmed2
MLLT10	Mllt10
GUCY1B3	Gucy1b3
TWF1	Gm4887 /// Twf1
SEPT6	Sept6
GLYR1 /// SEPT6	Sept6
YWHAB	Ywhab
NSD1	Nsd1
ACD	Acd
SEZ6	Sez6
BCL2L1	Bcl2l1
HCCS	Hccs
WNT7B	Wnt7b
TGFBR1	Tgfbr1
SNAP23	Snap23
RAB18	Rab18
HK1	Hk1
ST6GALNAC3	St6galnac3
IL17RA	Il17ra
CD2AP	Cd2ap
VEGFA	Vegfa
PPAP2C	Ppap2c
MFGE8	Mfge8
AFF4	Aff4
SLCO2A1	Slco2a1
STAT1	Stat1
PRPF40A	Prpf40a
C8orf44-SGK3 /// SGK3	Sgk3
C8orf44 /// C8orf44-SGK3 /// SGK3	Sgk3
CD151	Cd151
USP9X	Usp9x
TIMP2	Timp2
TUB	Tub
ARX	Arx
ST6GAL1	St6gal1
CTNNAL1	Ctnnal1
MAPK8	Mapk8
EYA3	Eya3
SRRM1	Srrm1
CPSF2	Cpsf2
HS6ST2	Hs6st2
ZNF185	Zfp185
ATRX	Atrx
ZNRF1	Znrf1
SON	Son
ADD1	Add1
VSNL1	Vsnl1
APC	Apc
SYS1	Sys1
DBNDD2 /// SYS1 /// SYS1-DBNDD2	Sys1
ASPH	Asph
FANCG	Fancg
IVNS1ABP	Ivns1abp
HAPLN2	Hapln2
ENC1	Enc1
SLC25A15	Slc25a15
NACC1	Nacc1
ADCY7	Adcy7
UBR1	Ubr1
ARID5B	Arid5b
BAZ1B	Baz1b
MAN1A2	Man1a2
NRF1	Nrf1
PAK1	Pak1
LMO4	Lmo4
RBM39	Rbm39
PCTP	Pctp
ASH1L	Ash1l
KIF3B	Kif3b
POLH	Polh
KIAA1430	4933411K20Rik
CHD1	Chd1
ANKRD1	Ankrd1
B3GNT5	B3gnt5
PLXNA3	Plxna3
GPI	Gpi1
ETV5	Etv5
CNOT4	Cnot4
CA6	Car6
ANGPTL2	Angptl2
GMEB1	Gmeb1
CNTRL	Cep110
COL4A6	Col4a6
RSAD2	Rsad2
MOBP	Mobp
HSD17B11	Hsd17b11
SRPRB	Srprb
CLYBL	Clybl
POLE3	Pole3
IGHMBP2	Ighmbp2
NRG3	Nrg3
AAED1	Aaed1
C6orf203	1700021F05Rik
RANBP17	Ranbp17
AEBP2	Aebp2
ACYP1	Acyp1
PIK3C2A	Pik3c2a
AGPAT1	Agpat1
GNA12	Gna12
MEF2C	Mef2c
HBS1L	Hbs1l
ZFP64	Zfp64
HILPDA	Hilpda
DNAJB12	Dnajb12
TCERG1	Tcerg1
IL4R	Il4ra
MAGI3	Magi3
NPAS2	Npas2
KCNN4	Kcnn4
MIP	Mip
ARHGEF2	Arhgef2
MRC2	Mrc2
PABPC4	Pabpc4
SMAD5	Smad5
YPEL1	Ypel1
KIAA0141	0610009O20Rik
VPS25	Vps25
VPS25	Ramp2 /// Vps25
RAMP2	Ramp2 /// Vps25
SMS	Gm14680 /// Sms
KIF1A	Kif1a
XPO4	Xpo4
LATS2	Lats2 /// Xpo4
XPO4	Lats2 /// Xpo4
DNASE1L3	Dnase1l3
ADH7	Adh7
ALG2	Alg2
MLLT1	Mllt1
GUCA1A	Guca1a
CLTA	Clta
MPP5	Mpp5
JAK2	Jak2
PHF2	Phf2
SUPT20H	Supt20
DES /// SUPT20H	Supt20
VHL	Vhl
IRX5	Irx5
PTGER4	Ptger4
CYP7B1	Cyp7b1
SERTAD3	Sertad3
NR4A3	Nr4a3
BANF1	Banf1
RS1	Rs1
PER3	Per3
GPC4	Gpc4
PINX1	Pinx1
EPB41L1	Epb4.1l1
SERPINA12	Serpina12
SLC7A10	Slc7a10
ZBTB33	Zbtb33
TRPC1	Trpc1
ENDOG	Endog
STAP1	Stap1
BHLHE41	Bhlhe41
DAB1	Dab1
DAB1 /// OMA1	Dab1
LDB2	Ldb2
VAMP3	Vamp3
BMP2K	Bmp2k
JAG1	Jag1
STK4	Stk4
MTDH	Mtdh
RYBP	Gm6910 /// Rybp
NKX2-2	Nkx2-2
EPYC	Epyc
ZDHHC16	Zdhhc16
RTN4	Rtn4
GPR56	Gpr56
KIF21B	Kif21b
MYO6	Myo6
AKAP10	Akap10
CBLL1	Cbll1
CDK5R1	Cdk5r1
STRBP	Strbp
RYR2	Ryr2
TMEM42	Tmem42
ZRSR2	Zrsr2
ATP2A3	Atp2a3
ZNF226	Zfp111
AREG /// AREGB	Areg
AREG	Areg
CNOT8	Cnot8
EDN3	Edn3
PKIB	Pkib
ZNF519	Zfp386
FOXP1	Foxp1
DIAPH1	Diap1
RPGRIP1	Rpgrip1
SLC26A2	Slc26a2
RAPGEF1	Rapgef1
TERF2	Terf2
TIAL1	Tial1
ATN1	Atn1
HIVEP3	Hivep3
EPHA2	Epha2
GNAO1	Gnao1
LOXL4	Loxl4
HCN2	Hcn2
B3GALT6	B3galt6
DSC2	Dsc2
CGNL1	Cgnl1
RFNG	Rfng
BTC	Btc
NFIA	Nfia
ARHGEF1	Arhgef1
GJA9 /// GJA9-MYCBP /// MYCBP	Mycbp
GJA9-MYCBP /// MYCBP	Mycbp
ATRN	Atrn
ATP11A	Atp11a
ZNF436	Zfp46
PLCB1	Plcb1
ADAM12	Adam12
ADAM12 /// ADAM12-OT1	Adam12
IRF4	Irf4
MYT1L	Myt1l
RASGRP1	Rasgrp1
THAP2	Thap2
MGAT4C	Mgat4c
TTYH2	LOC100862618 /// Ttyh2
LIX1	Lix1
NPTXR	Npcd /// Nptxr
CLEC1B	Clec1b
TEX12	Tex12
METTL7A	AB099516 /// Higd1c /// Mettl7a1 /// Mettl7a2 /// Mettl7a3
METTL7A	Mettl7a1
CCR2	Ccr2
GABRB3	Gabrb3
GOPC	Gopc
ITSN1	Itsn1
PBX3	Pbx3
ITGA4	Itga4
CCKAR	Cckar
PTPN11	Ptpn11
ITGAV	Itgav
DLG2	Dlg2
TRO	Tro
CHRNA4	Chrna4
NUDT16	Nudt16
ATM	Atm
LIF	Lif
IKBKG	Ikbkg
CIITA	Ciita
ABCC6	Abcc6
EDARADD	Edaradd
SLMAP	Slmap
IDS	Ids
IDS /// LINC00894	Ids
LGALS9	Lgals9
BCHE	Bche
ARPC4-TTLL3 /// TTLL3	Ttll3
TTLL3	Ttll3
BCO2	Bco2
FIP1L1	Fip1l1
ANXA4	Anxa4
HNF1B	Hnf1b
SLC4A4	Slc4a4
TREM2	Trem2
CCL7	Ccl7
DFFB	Dffb
MSI2	Msi2
PLXNA1	Plxna1
PKNOX1	Pknox1
HNF1A	Hnf1a
RECQL5	Recql5
RIPK2	Ripk2
TMPO	Tmpo
PTPRT	Ptprt
IL6ST	Il6st
ERN1	Ern1
NGFR	Ngfr
RNF144A	Rnf144a
ESR1	Esr1
SOST	Sost
PAX9	Pax9
SYN3	Syn3
SLC39A9	Slc39a9
ZNF616	Zfp40
MEF2A	Mef2a
NRAP	Nrap
SGCG	Sgcg
GZMH	Gzmc
PIGB	Pigb
PKLR	Pklr
SRM	Srm
LIPG	Lipg
